TimePeriod,GeoType,GeoID,GeoRank,Geography,Number,Percent
2017-21,NTA2020,50101,9,Mott Haven-Port Morris,"20,979",62.0
2017-21,NTA2020,50102,9,Melrose,"17,369",68.2
2017-21,NTA2020,50201,9,Hunts Point,"6,463",72.2
2017-21,NTA2020,50202,9,Longwood,"16,744",66.9
2017-21,NTA2020,50301,9,Morrisania,"14,731",65.9
2017-21,NTA2020,50302,9,Claremont Village-Claremont (East),"8,794",61.7
2017-21,NTA2020,50303,9,Crotona Park East,"13,149",69.0
2017-21,NTA2020,50401,9,Concourse-Concourse Village,"32,366",70.5
2017-21,NTA2020,50402,9,Highbridge,"14,125",71.1
2017-21,NTA2020,50403,9,Mount Eden-Claremont (West),"22,450",67.9
2017-21,NTA2020,50501,9,University Heights (South)-Morris Heights,"23,595",68.0
2017-21,NTA2020,50502,9,Mount Hope,"19,984",66.8
2017-21,NTA2020,50503,9,Fordham Heights,"13,105",66.0
2017-21,NTA2020,50601,9,West Farms,"6,978",61.1
2017-21,NTA2020,50602,9,Tremont,"14,034",71.4
2017-21,NTA2020,50603,9,Belmont,"12,455",65.6
2017-21,NTA2020,50701,9,University Heights (North)-Fordham,"21,995",71.6
2017-21,NTA2020,50702,9,Bedford Park,"26,217",71.5
2017-21,NTA2020,50703,9,Norwood,"19,436",72.3
2017-21,NTA2020,50801,9,Kingsbridge Heights-Van Cortlandt Village,"17,996",72.4
2017-21,NTA2020,50802,9,Kingsbridge-Marble Hill,"14,109",79.5
2017-21,NTA2020,50803,9,Riverdale-Spuyten Duyvil,"32,071",92.8
2017-21,NTA2020,50901,9,Soundview-Bruckner-Bronx River,"30,705",69.3
2017-21,NTA2020,50902,9,Soundview-Clason Point,"17,374",73.9
2017-21,NTA2020,50903,9,Castle Hill-Unionport,"19,579",74.6
2017-21,NTA2020,50904,9,Parkchester,"18,003",85.2
2017-21,NTA2020,51001,9,Westchester Square,"7,740",73.4
2017-21,NTA2020,51002,9,Throgs Neck-Schuylerville,"27,590",82.9
2017-21,NTA2020,51003,9,Pelham Bay-Country Club-City Island,"18,030",85.3
2017-21,NTA2020,51004,9,Co-op City,"24,935",86.0
2017-21,NTA2020,51101,9,Pelham Parkway-Van Nest,"16,804",80.7
2017-21,NTA2020,51102,9,Morris Park,"13,981",85.0
2017-21,NTA2020,51103,9,Pelham Gardens,"17,799",83.4
2017-21,NTA2020,51104,9,Allerton,"18,968",75.7
2017-21,NTA2020,51201,9,Williamsbridge-Olinville,"30,825",76.6
2017-21,NTA2020,51202,9,Eastchester-Edenwald-Baychester,"32,176",84.2
2017-21,NTA2020,51203,9,Wakefield-Woodlawn,"29,611",82.8
2017-21,NTA2020,470101,9,Greenpoint,"28,480",92.6
2017-21,NTA2020,470102,9,Williamsburg,"41,746",88.1
2017-21,NTA2020,470103,9,South Williamsburg,"12,992",70.0
2017-21,NTA2020,470104,9,East Williamsburg,"31,445",79.9
2017-21,NTA2020,470201,9,Brooklyn Heights,"18,198",97.6
2017-21,NTA2020,470202,9,Downtown Brooklyn-DUMBO-Boerum Hill,"26,531",93.0
2017-21,NTA2020,470203,9,Fort Greene,"22,424",88.5
2017-21,NTA2020,470204,9,Clinton Hill,"19,568",94.4
2017-21,NTA2020,470301,9,Bedford-Stuyvesant (West),"49,551",84.8
2017-21,NTA2020,470302,9,Bedford-Stuyvesant (East),"57,709",87.8
2017-21,NTA2020,470401,9,Bushwick (West),"31,847",79.0
2017-21,NTA2020,470402,9,Bushwick (East),"33,271",77.3
2017-21,NTA2020,470501,9,Cypress Hills,"22,369",80.2
2017-21,NTA2020,470502,9,East New York (North),"22,329",79.4
