"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","Latitude","Longitude","NTA_clean","Number_poverty","Percent_poverty","Number_education","Percent_education","Year","Month"
264080895,2023-02-22,08:25:00,"MANHATTAN",25,"25-44","M","BLACK","25-44","F","WHITE HISPANIC",40.811838,-73.935461,"east harlem",37227,30.7,68568,77.1,2023,2
250897908,2022-09-10,14:35:00,"BROOKLYN",75,"18-24","M","BLACK","18-24","M","BLACK HISPANIC",40.67271591,-73.89031495,"east new york",49585,24.3,77290,73.3,2022,9
239993170,2022-02-01,11:10:00,"MANHATTAN",23,"25-44","M","BLACK","25-44","F","BLACK",40.789323,-73.946316,"east harlem",38590,34.6,62542,74.3,2022,2
231866068,2021-08-05,08:57:00,"QUEENS",103,"25-44","M","BLACK","18-24","M","ASIAN / PACIFIC ISLANDER",40.7017931820001,-73.806333175,"jamaica",9201,15.7,22517,66,2021,8
223198985,2021-01-16,12:39:00,"MANHATTAN",32,"18-24","M","BLACK","25-44","M","BLACK",40.826216983,-73.940100268,"harlem",9702,19.4,31303,86.3,2021,1
167664433,2017-08-02,02:15:00,"BROOKLYN",81,"25-44","M","BLACK","25-44","M","BLACK",40.696279609,-73.93398247,"bushwick",39826,29.3,46519,59,2017,8
167036562,2017-07-13,13:29:00,"MANHATTAN",25,"<18","M","BLACK HISPANIC","25-44","M","BLACK",40.803203749,-73.942569943,"east harlem",38127,32.7,63957,74.3,2017,7
190562520,2018-11-29,03:00:00,"MANHATTAN",25,"25-44","M","BLACK","18-24","M","BLACK",40.811810558,-73.9383275229999,"east harlem",35406,30.8,63957,74.3,2018,11
266427560,2023-04-08,01:00:00,"MANHATTAN",25,"18-24","M","BLACK","18-24","M","BLACK",40.81017536,-73.93740755,"east harlem",36803,31.2,51889,70.7,2023,4
228918111,2021-05-31,19:50:00,"BROOKLYN",83,"25-44","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC",40.693625625,-73.909228481,"bushwick",15164,25.6,48014,58.8,2021,5
225601140,2021-03-13,03:50:00,"BROOKLYN",90,"18-24","M","BLACK HISPANIC","25-44","M","WHITE HISPANIC",40.7021195610001,-73.936161591,"bushwick",41202,31.1,49587,58.4,2021,3
205862274,2019-12-01,21:10:00,"BROOKLYN",81,"25-44","M","BLACK","25-44","M","BLACK",40.690562851,-73.925942143,"bedford stuyvesant",41533,31.1,66644,77.3,2019,12
218418261,2020-09-25,22:23:00,"BROOKLYN",81,"25-44","M","BLACK","25-44","M","BLACK",40.687000391,-73.937343653,"bedford stuyvesant",44892,32.4,65086,76.7,2020,9
230835285,2021-07-14,18:42:00,"MANHATTAN",23,"18-24","M","BLACK","18-24","F","BLACK",40.7862482360001,-73.93999178,"east harlem",36803,31.2,53696,69.2,2021,7
230193608,2021-06-28,21:46:00,"BROOKLYN",72,"25-44","M","BLACK","25-44","M","ASIAN / PACIFIC ISLANDER",40.639932074,-74.0085338339999,"sunset park",25384,22.2,49398,60.7,2021,6
255746295,2022-12-09,19:55:00,"BRONX",40,"25-44","M","WHITE HISPANIC","45-64","M","WHITE HISPANIC",40.789794,-73.952288,"east harlem",15776,28.1,53696,69.2,2022,12
243566417,2022-04-12,08:26:00,"BROOKLYN",72,"45-64","M","BLACK","45-64","F","WHITE",40.6581577535544,-74.0004411548878,"sunset park",24717,20.8,25020,70.4,2022,4
274180042,2023-09-09,12:17:00,"BROOKLYN",79,"45-64","M","BLACK","25-44","F","BLACK",40.6933087488641,-73.9530991901704,"bedford stuyvesant",43803,32.5,58841,75.2,2023,9
253458084,2022-11-01,21:15:00,"BROOKLYN",70,"18-24","M","BLACK","18-24","M","BLACK",40.646743,-73.959318,"flatbush",17449,16.9,82471,82.1,2022,11
240547210,2022-02-13,22:25:00,"MANHATTAN",25,"<18","M","BLACK","25-44","M","BLACK",40.802758,-73.9386,"east harlem",36803,31.2,32600,74.6,2022,2
276785707,2023-10-31,17:27:00,"BROOKLYN",75,"25-44","M","BLACK","25-44","M","BLACK",40.669827,-73.886771,"east new york",49585,24.3,108403,81.7,2023,10
